camlat,xu1emlebo2
camla,xu1emle
canlandır,xu1ebo1lebo1dyr
canlan,xu1ebo1lebo1
casusla,xu1eswsle
cavla,xu1ewle
caydır,xu1eydyr
cayırdat,xu1eyyr||debo2
cayırda,xu1eyyr||de
cem'et,xu1ma eybo2
cemilen,xu1malh||bo1
cemile,xu1malh||
cenkleş,xu1bo1keso3
cerahatlen,xu1rexbo2lh||bo1
cesaretlen,xu1serbo2lh||bo1
cezalandır,xu1ro1elebo1dyr
cezalan,xu1ro1elebo1
cilala,xu1lele
cildlet,xu1ldlbo2
cildle,xu1ldlh||
cırılda,xu1yrylde
cırlat,xu1yrlebo2
cırla,xu1yrle
cırtla,xu1yrbo2le
cıvılda,xu1ywylde
cıyırda,xu1yyrde
cızılda,xu1yro1ylde
cızırdat,xu1yro1yrdebo2
cızırda,xu1yro1yrde
cızla,xu1yro1le
coşdur,xu1wso3dwr
coş,xu1wso3
cumbulda,xu1wmbu1wlde
