ebrüla,ebu1rwle
edeblen,edbu1lbo1
edil,eydl
edin,eydbo1
eğele,eko7h||l
eğelet,eko7h||lbo2
eğir,eko7r
eğirt,eko7yrbo2
eğle,eko7lh||
eğlendir,eko7lbo1dyr
eğlen,eko7lbo1
eğril,eko7rl
ekil,ekyl
ekle,eklh||
eksikle,eksyklh||
eksil,eksyl
eksilt,eksylbo2
ekşit,ekso3ybo2
ele,elh||
elet,elbo2
elle,eo5llh||
ellen,eo5llh||bo1
elleş,eo5llso3
elver,eo5lwyr
emdir,emdyr
emekle,emkl
emil,eo5ml
emzir,emro1yr
ensele,elo5o3sh||l
er,er
eri,ery
eriş,eyryso3
erit,erybo2
eritil,erydl
ertele,eyrbo2h||lh||
esaslandır,eseslebo2dyr
esaslan,eseslebo1
eşdir,eo5so3dyr
esdir,esdyr
eşele,eo5so3h||lh||
es,es
eşil,eo5so3yl
eşin,eo5so3ybo1
esirge,eo5syrkh||
eski,eo5sky
eskit,eo5skybo2
eşleş,eo5so3lso3
esne,esbo1h||
esnet,eo5sbo1bo2
etdir,eybo2dyr
etekle,ebo2klh||
et,eybo2
ever,eo5wr
evir,eo5wyr
evlen,eo5wlh||bo1
eyle,eylh||
ezberle,ero1bu1rlh||
ezberlen,ero1bu1rlbo1
ezberlet,ero1bu1rlbo2
ezdir,ero1dyr
ez,ero1
ezil,ero1l
