zamklan,zo1mao1lebo1
zamklat,zo1mao1lebo2
zamkla,zo1mao1le
zammet,zo1m eybo2
zangırda,ro1ebo1ao1yrde
zannet,to1bo1 eybo2
zaptet,zo1bu1t eybo2
zayıflat,zo1ayfo1lebo2
zayıfla,zo1ayfo1le
zedelen,ro1dh||lbo1
zedele,ro1dh||l
zemmet,do1m eybo2
zenginle,ro1bo1ko7ybo1lh||
zevklendir,do1wfo2lbo1dyr
zevklen,do1wfo2lbo1
zevzeklen,ro1wro1klbo1
zıbar,ro1ybu1er
ziftlen,ro1yfo1bo2lbo1
ziftle,ro1yfo1bo2lh||
zıkkımlan,ro1fo2wmlebo1
zımbala,ro1ymbu1ele
zımbalat,ro1ymbu1elebo2
zincirlen,ro1bo1xu1yrlbo1
zincirle,ro1bo1xu1yrl
zıngırda,ro1ybo1ao1yrde
zıngırdat,ro1ybo1ao1yrdebo2
zırılda,ro1yrylde
ziyadeleşdir,ro1yedh||lso3dyr
ziyadeleş,ro1yedh||lso3
ziynetlen,ro1ybo1bo2lbo1
ziynetle,ro1ybo1bo2lh||
zonkla,ro1wbo1fo2le
zorla,ro1wlh||
